state,company_name,date_filed,county,workers_affected,city
IN,Duke Realty Corporation,,,120.0,Indianapolis
IN,"KGP Telecommunications, LLC",,,189.0,Warsaw
IN,goTRG,,,91.0,Whitestown
IN,"Wittenberg Lutheran Village, Inc.",,,71.0,Crown Point
IN,Keystone RV Company,,,334.0,Goshen
IN,Penske Logistics LLC,,,517.0,Shelbyville
IN,Leed Selling Tools Corp,,,81.0,"Ireland, Evansville"
IN,"Miller’s Health Systems, Inc",,,691.0,"Indianapolis, Wakarusa, Tipton, Sullivan, Rushville, Peru, LaGrange, and Huntington"
IN,Frontier Communications,,,50.0,Fort Wayne
IN,Kuehne & Nagel,,,17.0,Plainfield
IN,Walmart Fulfillment Center,,,0.0,Plainfield
IN,CJ Automotive,,,110.0,Butler
IN,"McDaniel Technical Services, Inc",,,78.0,Evansville
IN,Dometic Corporation,,,159.0,Elkhart
IN,Little Raymond’s Print Shop,,,114.0,Indianapolis
IN,Home Products International,,,130.0,Seymour
IN,"Averitt Express, Inc.",,,63.0,Evansville
IN,Sony DADC US Inc,,,80.0,Terre Haute
IN,PPG Industries,,,54.0,Lafayette
IN,"Nash and Sons Trucking, Inc.",,,75.0,"Muncie, Bloomington, Chandler and Indianapolis"
IN,"MAP of Easton, Inc",,,114.0,Granger
IN,"Alexander Dennis, Inc",,,192.0,Nappanee and Peru
IN,Kauffman Engineering,,,63.0,Lebanon
IN,"IAC Greencastle, LLC dba International Automotive Components",,,125.0,Greencastle
IN,CoreCivic,,,143.0,Indianapolis
IN,Diamond Chain Company,,,146.0,Indianapolis
IN,Triumph Hospital NW Indiana LLC DBA Kindred Hospital Northwest Indiana,,,110.0,Hammond
IN,Transdev Inc.,,,86.0,Indianapolis
IN,Franciscan Health,,,83.0,Hammond
IN,"DFA Dairy Brands Ice Cream, LLC",,,176.0,Decatur
IN,"DFA Dairy Brands Ice Cream, LLC-Revised (9/15/21)",,,0.0,Decatur
IN,"IAC Greencastle, LLC dba International Automotive Components",,,93.0,Greencastle
IN,"Steel Parts Manufacturing, Inc.",,,107.0,Tipton
IN,"Steel Parts Manufacturing, Inc.-Revised (7/22/21)",,,0.0,Tipton
IN,Five Star Senior Living  Inc. Meadwood,,,96.0,Indianapolis
IN,"Rose Acre Farms, Inc.",,,94.0,Monon
IN,Hubbell/RACO,,,75.0,South Bend
IN,Crestview Management dba Hyatt Regency Indianapolis,,,78.0,Indianapolis
IN,Crestview Management dba Indianapolis Marriott North,,,73.0,Indianapolis
IN,"Performant Recovery, Inc.",,,115.0,Indianapolis
IN,"Coca-Cola Consolidated, Inc.",,,52.0,Lafayette
IN,Mitsubishi Heavy Industries Climate Control,,,82.0,Franklin
IN,"Dana Light Axle Products, LLC",,,73.0,Albion
IN,Avery Dennison Corporation,,,154.0,Fort Wayne
IN,Universal Protection Service LLC dba Allied Universal Security Services,,,57.0,Roanoke
IN,"White Stallion Energy, LLC",,,338.0,Evansville and Illinois
IN,"SMI Division of DCX-CHOL Enterprises, INC.",,,52.0,Fort Wayne
IN,Vibracoustic,,,84.0,Ligonier
IN,"Acuity Brands Lighting, Inc.",,,150.0,Fishers
IN,Wabash Valley,,,80.0,Silver Lake
IN,Manchester Tank & Equipment,,,128.0,Elkhart
IN,Eaton Corporation,,,108.0,Auburn
IN,Signature HealthCARE of Bluffton,,,250.0,Plainfield
IN,Bell Techlogix,,,250.0,Plainfield
IN,Bell Techlogix-Revised (11/9/20),,,0.0,Plainfield
IN,Metaldyne BSM LLC - AAM Fremont Manufacturing Facility,,,62.0,Fremont
IN,Metaldyne BSM LLC - AAM Fremont Manufacturing Facility-Revised (12/17/20),,,0.0,Fremont
IN,Tenneco (formerly Federal Mogul),,,271.0,South Bend
IN,Aramark,,,66.0,Indianapolis
IN,"Monarch Beverage Co., EF Transit, Inc. &Monarch Beverage Co., EF Transit, Inc. & Monarch Medical Center, LLC",,,633.0,EvansvilleIndianapolis
IN,AAA Sales & Engineering Inc.,,,53.0,Angola
IN,Leidos,,,61.0,Indianapolis
IN,Acument Global Technology,,,59.0,Rochester
IN,Omni Severin Hotel,,,69.0,Indianapolis
IN,"PF Chang's China Bistro(Indianapolis 1, Indianapolis 2, Fort Wayne)",,,225.0,Indianapolis & Fort Wayne
IN,Howmet Aerospace La Porte,,,150.0,La Porte
IN,"Regal Beloit America, Inc.",,,63.0,Valparaiso
IN,"Regal Beloit America, Inc.-Revised (7/27/21)",,,0.0,Valparaiso
IN,"Regal Beloit America, Inc.-Revised (9/13/21)",,,0.0,Valparaiso
IN,UAW-Chrysler National Training Center,,,0.0,Kokomo
IN,"LSC Communications US, LLC",,,307.0,Kendallville
IN,"CMR Partners, LLP dba Ponderosa Steakhouse",,,140.0,Anderson & Indianapolis
IN,"Universal Bearings, LLC",,,61.0,Bremen
IN,"Avis Budget Car Rental, LLC",,,19.0,Fort Wayne & Indianapolis
IN,HMS Host,,,3.0,Rolling Prairie
IN,The Alexander Hotel,,,31.0,Indianapolis
IN,Hickory Springs Manufacturing,,,59.0,New Castle
IN,The Arch of Evansville dba Arc Industries Plant 1,,,35.0,Evansville
IN,Republic Airways,,,293.0,Indianapolis
IN,"CMR Partners, LLP dba Ponderosa Steakhouse",,,192.0,Greenfield & Goshen
IN,Embassy Suites Hotel Indianapolis Downtown,,,26.0,Indianapolis
IN,Embassy Suites by Hilton at Notre Dame,,,19.0,South Bend
IN,PL Marketing,,,225.0,Statewide
IN,"Horton, Inc.  Phase 1 (7/28/20) Phase 2 (7/28/20) Phase 3 (8/13/20)Phase 4 (10/23/20)",,,65.0,Carmel
IN,American Queen Steamboat Company,,,250.0,New Albany
IN,Indianapolis Symphony Orchestra,,,111.0,Indianapolis
IN,Hilton Conrad Domestic Employer LLC,,,86.0,Indianapolis
IN,"Fiserv, Inc.",,,119.0,Indianapolis & Plainfield
IN,"United Airlines, Inc.",,,70.0,Indianapolis
IN,"United Airlines, Inc.-Revised (7/31/20)",,,0.0,Indianapolis
IN,"Heritage Food Service Group, LLC",,,86.0,Fort Wayne
IN,"Toll Brothers, Inc.",,,35.0,Knox
IN,White Lodging Services Corporation dba Courtyard Fort Wayne Downtown,,,75.0,Fort Wayne
IN,White Lodging Services Corporation dba JW Indianapolis,,,559.0,Indianapolis
IN,White Lodging Services Corporation dba JW Indianapolis-Revised (8/31/20),,,0.0,Indianapolis
IN,White Lodging Services Corporation dba Marriot Indianapolis,,,324.0,Indianapolis
IN,White Lodging Services Corporation dba Marriot Indianapolis-Revised (8/31/20),,,0.0,Indianapolis
IN,"Universal Protection Service, LLC dba Allied Universal Security Services",,,48.0,Indianapolis
IN,Medline,,,129.0,Plainfield
IN,Iron Mountain,,,68.0,Indianapolis
IN,"Howard Regional Specialty Care, LLC dba Howard Regional Health  System-West Campus Specialty Hospital dba Community Howard Specialty Hospital and Replay Physical Therapy",,,121.0,Kokomo
IN,Levy Premium Foodservice Limited Partnership,,,21.0,Indianapolis
IN,"ADESA Indianapolis, LLC and Automotive Finance Corporation",,,48.0,Plainfield
IN,Royal Crown Bottling Corp,,,85.0,Evansville
IN,Hollywood Casino Lawrenceburg,,,98.0,Lawrenceburg
IN,Hollywood Casino Lawrenceburg-Revised (8/19/20),,,0.0,Lawrenceburg
IN,Integrity EDM LLC,,,47.0,Tipton
IN,Ameristar Casino Hotel East Chicago,,,274.0,East Chicago
IN,Ameristar Casino Hotel East Chicago-Revised (7/16/20),,,0.0,East Chicago
IN,Ameristar Casino Hotel East Chicago-Revised (9/15/20),,,0.0,East Chicago
IN,"Horizon Terra, Incorporated dba idX Louisville",,,114.0,Jeffersonville
IN,Vitro Automotive / Pittsburgh Glass Works,,,306.0,Evansville
IN,Vitro Automotive / Pittsburgh Glass Works-Revised (8/6/20),,,0.0,Evansville
IN,Sodexo,,,66.0,Westfield
IN,The Westin Hotel Indianapolis,,,95.0,Indianapolis
IN,The Westin Hotel Indianapolis-Revised (9/9/20),,,0.0,Indianapolis
IN,"Daramic, LLC",,,74.0,Corydon
IN,"Strick Trailers, LLC",,,174.0,Monroe
IN,Boyd Gaming Corporation dba Belterra Casino Resort,,,516.0,Florence
IN,Boyd Gaming Casino dba Blue Chip Casino Hotel Spa,,,606.0,Michigan City
IN,Exide Technologies,,,179.0,Muncie
IN,Exide Technologies-Revised (7/29/20),,,0.0,Muncie
IN,White Lodging Services Corporation,,,83.0,Merrillville
IN,White Lodging Services Corporation-Revised (7/8/20),,,0.0,Merrillville
IN,"COX Automotive(Carmel, Clarksville and Indianapolis)",,,263.0,"Carmel, Clarksville and Indianapolis"
IN,KM Plant Services,,,67.0,Highland
IN,American Woodmark Corporation,,,5.0,Gas City
IN,United States Steel CorporationGary and Portage,,,0.0,Gary and Portage
IN,"Caesars Riverboat Casino, LLC",,,0.0,Elizabeth
IN,ArcelorMittal USA LLC dba I/N Tek LP,,,18.0,New Carlisle
IN,"Allison Transmission, Inc.",,,427.0,Indianapolis
IN,"Allison Transmission, Inc.Revised (5/21/20)",,,0.0,Indianapolis
IN,"Allison Transmission, Inc. Revised (6/4/20)",,,0.0,Indianapolis
IN,"Hoosier Park, LLC dba Harrah’s Hoosier Park Racing and Casino",,,998.0,Anderson
IN,ArcelorMittal USA LLC dba North America Segment,,,3.0,East Chicago
IN,Parkhurst Dining Services,,,365.0,"Valparaiso, Franklin and Hanover"
IN,"Horseshoe Hammond, LLC",,,0.0,Hammond
IN,Hendrickson USA,,,129.0,Lebanon
IN,"Dental Arts Laboratories, Inc.Additional Documents (Locations and Positions)",,,14.0,Lafayette and Indianapolis
IN,"OS Restaurant Services, LLC",,,0.0,"Merrillville, Mishawaka, Fort Wayne, Kokomo, Greenwood, Muncie, Terre Haute, Bloomington, Clarksville, Evansville and Indianapolis"
IN,VisionworksLocation List,,,125.0,"Highland, Merrillville, Lafayette, Avon, Carmel, Fishers, Greenwood, Terre Haute, Bloomington, Clarksville, New Albany, Evansville and Indianapolis"
IN,"Centaur Acquisition, LLC dba Indiana Grand Racing & Casino",,,0.0,Shelbyville
IN,"Enterprise HoldingsAdditional Documents (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, & Doc 6)",,,452.0,Mishawaka and Indianapolis
IN,Kosciusko Community YMCA,,,300.0,Warsaw
IN,"PK USA, Inc.",,,483.0,Shelbyville
IN,Adelta Logis Inc.,,,114.0,Indianapolis
IN,SMC Acquisition Corp,,,30.0,Bristol
IN,Lakota Corporation,,,37.0,Bristol
IN,Leggett & Platt dba No-Sag Products,,,95.0,Kendallville
IN,Leggett & Platt dba Merit Steel Company,,,81.0,Kouts
IN,ArcelorMittal dba Mittal Steel Railways,,,5.0,Burns Harbor
IN,Klipsch Group Inc.,,,18.0,Indianapolis
IN,ArcelorMittal USA dba ArcelorMittal Indiana Harbor,,,877.0,East Chicago
IN,ArcelorMittal USA dba ArcelorMittal Indiana HarborRevised (4/27/20),,,0.0,East Chicago
IN,ArcelorMittal USA dba ArcelorMittal Indiana HarborRevised (5/28/20),,,0.0,East Chicago
IN,ArcelorMittal USA dba ArcelorMittal Indiana Harbor Revised (7/28/20),,,0.0,East Chicago
IN,Westfield Steel Inc.,,,40.0,Westfield and Terre Haute
IN,Pokagon Gaming Authority dba Four Winds Casinos,,,414.0,South Bend
IN,"Gibson County Coal, LLC",,,117.0,Owensville
IN,Flex-N-Gate Corporation,,,43.0,Covington
IN,Flex-N-Gate CorporationRevised (6/24/20),,,0.0,Covington
IN,"ArcelorMittal USA, Inc.",,,33.0,East Chicago
IN,"ArcelorMittal USA, LLC dba ArcelorMittal Burns Harbor",,,715.0,Burns Harbor
IN,"ArcelorMittal USA, LLC dba ArcelorMittal Burns HarborRevised (4/21/20)",,,0.0,Burns Harbor
IN,"ArcelorMittal USA, LLC dba ArcelorMittal Burns Harbor Revised (4/29/20)",,,0.0,Burns Harbor
IN,"ArcelorMittal USA, LLC dba ArcelorMittal Burns Harbor Revised (7/29/20)",,,0.0,Burns Harbor
IN,"Polaris Boats, LLC",,,0.0,Syracuse
IN,Agrati,,,51.0,Valparaiso
IN,Wildman Business Group,,,48.0,Warsaw
IN,Hendrickson,,,103.0,Kendallville
IN,"Leggett & Platt, Inc dba L&P Springs Manufacturing, LLC",,,139.0,Rensselaer
IN,"Jim’s Formal Wear, LLC",,,0.0,Anderson
IN,"Jim’s Formal Wear, LLCRevised (5/27/20)",,,0.0,Anderson
IN,"Fire King Commercial Services, LLC & Fire King Security Products, LLC",,,39.0,New Albany
IN,"Aztar Indiana Gaming Co., LLC dba Tropicana Evansville",,,529.0,Evansville
IN,Manchester Tank & Equipment Company,,,117.0,Bedford
IN,"Hooters of America, LLC",,,502.0,"Merrillville, Schererville, Portage, Mishawaka, Lafayette, Clarksville, Jeffersonville, Evansville and Indianapolis"
IN,Master Guard,,,680.0,Veedersburg
